Day,Gregorian Date,Day of Week,Fajr,Sunrise,Dhuhr,Asr,Maghrib,Isha
1,Feb 18,Wednesday,4:49,6:07,11:49,3:05,5:32,7:02
2,Feb 19,Thursday,4:48,6:06,11:49,3:05,5:33,7:03
3,Feb 20,Friday,4:47,6:05,11:49,3:05,5:34,7:04
4,Feb 21,Saturday,4:47,6:04,11:49,3:06,5:34,7:04
5,Feb 22,Sunday,4:46,6:03,11:48,3:06,5:35,7:05
6,Feb 23,Monday,4:45,6:02,11:48,3:06,5:35,7:05
7,Feb 24,Tuesday,4:44,6:02,11:48,3:06,5:36,7:06
8,Feb 25,Wednesday,4:43,6:01,11:48,3:07,5:37,7:07
9,Feb 26,Thursday,4:43,6:00,11:48,3:07,5:37,7:07
10,Feb 27,Friday,4:42,5:59,11:48,3:07,5:38,7:08
11,Feb 28,Saturday,4:41,5:58,11:47,3:07,5:38,7:08
12,Mar 1,Sunday,4:40,5:57,11:47,3:08,5:39,7:09
13,Mar 2,Monday,4:39,5:56,11:47,3:08,5:39,7:09
14,Mar 3,Tuesday,4:38,5:55,11:47,3:08,5:40,7:10
15,Mar 4,Wednesday,4:37,5:54,11:47,3:08,5:40,7:10
16,Mar 5,Thursday,4:36,5:53,11:46,3:08,5:41,7:11
17,Mar 6,Friday,4:35,5:52,11:46,3:08,5:41,7:11
18,Mar 7,Saturday,4:35,5:51,11:46,3:08,5:42,7:12
19,Mar 8,Sunday,4:34,5:51,11:46,3:09,5:42,7:12
20,Mar 9,Monday,4:33,5:50,11:45,3:09,5:43,7:13
21,Mar 10,Tuesday,4:32,5:49,11:45,3:09,5:43,7:13
22,Mar 11,Wednesday,4:31,5:48,11:45,3:09,5:44,7:14
23,Mar 12,Thursday,4:30,5:47,11:45,3:09,5:44,7:14
24,Mar 13,Friday,4:29,5:46,11:44,3:09,5:45,7:15
25,Mar 14,Saturday,4:28,5:44,11:44,3:09,5:45,7:15
26,Mar 15,Sunday,4:26,5:43,11:44,3:09,5:46,7:16
27,Mar 16,Monday,4:25,5:42,11:44,3:09,5:46,7:16
28,Mar 17,Tuesday,4:24,5:41,11:43,3:09,5:47,7:17
29,Mar 18,Wednesday,4:23,5:40,11:43,3:09,5:47,7:17
30,Mar 19,Thursday,4:22,5:39,11:43,3:09,5:47,7:17
